ID,datetime,passengers-in,passengers-out,station
1344405,2020/9/1 6:00,62,0,1a
1355991,2020/9/1 6:00,23,13,1b
1367677,2020/9/1 6:00,24,9,1c
1379412,2020/9/1 6:00,12,14,1d
1391347,2020/9/1 6:00,8,11,1e
1403200,2020/9/1 6:00,11,7,1f
1414989,2020/9/1 6:00,14,11,1g
1426638,2020/9/1 6:00,8,4,1h
1438353,2020/9/1 6:00,7,10,1i
1450119,2020/9/1 6:00,7,6,1j
1462076,2020/9/1 6:00,9,12,1k
1473799,2020/9/1 6:00,8,2,1l
1485488,2020/9/1 6:00,4,10,1m
1497142,2020/9/1 6:00,13,10,1n
1508650,2020/9/1 6:00,64,14,1o
1520259,2020/9/1 6:00,9,13,1p
1531870,2020/9/1 6:00,8,13,1q
1543737,2020/9/1 6:00,5,11,1r
1555443,2020/9/1 6:00,16,13,1s
1567302,2020/9/1 6:00,14,10,1t
1822550,2020/9/1 6:00,11,11,2a
1833934,2020/9/1 6:00,14,15,2b
1845519,2020/9/1 6:00,13,6,2c
1857068,2020/9/1 6:00,13,7,2d
1868781,2020/9/1 6:00,16,9,2e
1880527,2020/9/1 6:00,7,13,2f
1892246,2020/9/1 6:00,8,19,2g
1904041,2020/9/1 6:00,7,11,2h
1915712,2020/9/1 6:00,10,9,2i
1927218,2020/9/1 6:00,15,3,2j
1938705,2020/9/1 6:00,11,13,2k
1950217,2020/9/1 6:00,12,7,2l
1961675,2020/9/1 6:00,10,13,2m
1973121,2020/9/1 6:00,10,12,2n
1984544,2020/9/1 6:00,12,11,2o
1995918,2020/9/1 6:00,15,12,2p
2007407,2020/9/1 6:00,12,5,2q
2018945,2020/9/1 6:00,14,9,2r
2030385,2020/9/1 6:00,7,16,2s
2041824,2020/9/1 6:00,14,11,2t
2053401,2020/9/1 6:00,9,37,2u
2064939,2020/9/1 6:00,14,10,2v
2076447,2020/9/1 6:00,10,11,2w
2087973,2020/9/1 6:00,8,8,2x
1344406,2020/9/1 6:15,54,23,1a
1355992,2020/9/1 6:15,15,18,1b
1367678,2020/9/1 6:15,31,15,1c
1379413,2020/9/1 6:15,21,7,1d
1391348,2020/9/1 6:15,21,8,1e
1403201,2020/9/1 6:15,13,14,1f
1414990,2020/9/1 6:15,7,17,1g
1426639,2020/9/1 6:15,10,14,1h
1438354,2020/9/1 6:15,16,8,1i
1450120,2020/9/1 6:15,7,9,1j
1462077,2020/9/1 6:15,13,8,1k
1473800,2020/9/1 6:15,6,14,1l
1485489,2020/9/1 6:15,15,13,1m
1497143,2020/9/1 6:15,7,9,1n
1508651,2020/9/1 6:15,15,9,1o
1520260,2020/9/1 6:15,9,13,1p
1531871,2020/9/1 6:15,12,12,1q
1543738,2020/9/1 6:15,9,11,1r
1555444,2020/9/1 6:15,12,14,1s
1567303,2020/9/1 6:15,11,12,1t
1822551,2020/9/1 6:15,8,9,2a
1833935,2020/9/1 6:15,20,7,2b
1845520,2020/9/1 6:15,8,12,2c
1857069,2020/9/1 6:15,10,8,2d
1868782,2020/9/1 6:15,9,9,2e
1880528,2020/9/1 6:15,10,12,2f
1892247,2020/9/1 6:15,13,10,2g
1904042,2020/9/1 6:15,13,10,2h
1915713,2020/9/1 6:15,8,8,2i
1927219,2020/9/1 6:15,8,8,2j
1938706,2020/9/1 6:15,16,17,2k
1950218,2020/9/1 6:15,12,15,2l
1961676,2020/9/1 6:15,8,9,2m
1973122,2020/9/1 6:15,13,14,2n
1984545,2020/9/1 6:15,10,9,2o
1995919,2020/9/1 6:15,8,4,2p
2007408,2020/9/1 6:15,7,8,2q
2018946,2020/9/1 6:15,16,12,2r
2030386,2020/9/1 6:15,8,8,2s
2041825,2020/9/1 6:15,14,9,2t
2053402,2020/9/1 6:15,16,96,2u
2064940,2020/9/1 6:15,7,17,2v
2076448,2020/9/1 6:15,8,13,2w
2087974,2020/9/1 6:15,14,13,2x
1344407,2020/9/1 6:30,63,16,1a
1355993,2020/9/1 6:30,22,7,1b
1367679,2020/9/1 6:30,38,8,1c
1379414,2020/9/1 6:30,31,8,1d
1391349,2020/9/1 6:30,19,12,1e
1403202,2020/9/1 6:30,20,7,1f
1414991,2020/9/1 6:30,11,7,1g
1426640,2020/9/1 6:30,9,14,1h
1438355,2020/9/1 6:30,8,13,1i
1450121,2020/9/1 6:30,9,12,1j
1462078,2020/9/1 6:30,9,10,1k
1473801,2020/9/1 6:30,13,10,1l
1485490,2020/9/1 6:30,12,10,1m
1497144,2020/9/1 6:30,11,7,1n
1508652,2020/9/1 6:30,10,8,1o
1520261,2020/9/1 6:30,11,11,1p
1531872,2020/9/1 6:30,13,11,1q
1543739,2020/9/1 6:30,9,7,1r
1555445,2020/9/1 6:30,10,12,1s
1567304,2020/9/1 6:30,15,18,1t
1822552,2020/9/1 6:30,12,11,2a
1833936,2020/9/1 6:30,25,9,2b
1845521,2020/9/1 6:30,13,8,2c
1857070,2020/9/1 6:30,11,8,2d
1868783,2020/9/1 6:30,7,7,2e
1880529,2020/9/1 6:30,9,12,2f
1892248,2020/9/1 6:30,14,13,2g
1904043,2020/9/1 6:30,14,7,2h
1915714,2020/9/1 6:30,9,13,2i
1927220,2020/9/1 6:30,7,13,2j
1938707,2020/9/1 6:30,8,36,2k
1950219,2020/9/1 6:30,7,8,2l
1961677,2020/9/1 6:30,12,15,2m
1973123,2020/9/1 6:30,10,16,2n
1984546,2020/9/1 6:30,12,12,2o
1995920,2020/9/1 6:30,13,15,2p
2007409,2020/9/1 6:30,10,13,2q
2018947,2020/9/1 6:30,14,9,2r
2030387,2020/9/1 6:30,9,11,2s
2041826,2020/9/1 6:30,13,10,2t
2053403,2020/9/1 6:30,17,66,2u
2064941,2020/9/1 6:30,11,15,2v
2076449,2020/9/1 6:30,16,13,2w
2087975,2020/9/1 6:30,11,7,2x
1344408,2020/9/1 6:45,87,17,1a
1355994,2020/9/1 6:45,29,10,1b
1367680,2020/9/1 6:45,32,23,1c
1379415,2020/9/1 6:45,34,10,1d
1391350,2020/9/1 6:45,35,17,1e
1403203,2020/9/1 6:45,21,15,1f
1414992,2020/9/1 6:45,7,9,1g
1426641,2020/9/1 6:45,13,12,1h
1438356,2020/9/1 6:45,14,11,1i
1450122,2020/9/1 6:45,10,12,1j
1462079,2020/9/1 6:45,13,9,1k
1473802,2020/9/1 6:45,7,10,1l
1485491,2020/9/1 6:45,7,10,1m
1497145,2020/9/1 6:45,15,16,1n
1508653,2020/9/1 6:45,7,9,1o
1520262,2020/9/1 6:45,8,15,1p
1531873,2020/9/1 6:45,11,7,1q
1543740,2020/9/1 6:45,16,16,1r
1555446,2020/9/1 6:45,14,16,1s
1567305,2020/9/1 6:45,25,19,1t
1822553,2020/9/1 6:45,12,12,2a
1833937,2020/9/1 6:45,37,11,2b
1845522,2020/9/1 6:45,9,9,2c
1857071,2020/9/1 6:45,12,13,2d
1868784,2020/9/1 6:45,8,12,2e
1880530,2020/9/1 6:45,7,14,2f
1892249,2020/9/1 6:45,12,11,2g
1904044,2020/9/1 6:45,13,8,2h
1915715,2020/9/1 6:45,12,11,2i
1927221,2020/9/1 6:45,7,14,2j
1938708,2020/9/1 6:45,3,24,2k
1950220,2020/9/1 6:45,11,10,2l
1961678,2020/9/1 6:45,12,10,2m
1973124,2020/9/1 6:45,8,10,2n
1984547,2020/9/1 6:45,8,10,2o
1995921,2020/9/1 6:45,14,10,2p
2007410,2020/9/1 6:45,18,11,2q
2018948,2020/9/1 6:45,11,7,2r
2030388,2020/9/1 6:45,10,7,2s
2041827,2020/9/1 6:45,17,27,2t
2053404,2020/9/1 6:45,44,150,2u
2064942,2020/9/1 6:45,15,12,2v
2076450,2020/9/1 6:45,14,16,2w
2087976,2020/9/1 6:45,11,14,2x
1344409,2020/9/1 7:00,84,19,1a
1355995,2020/9/1 7:00,28,12,1b
1367681,2020/9/1 7:00,37,20,1c
1379416,2020/9/1 7:00,36,14,1d
1391351,2020/9/1 7:00,25,18,1e
1403204,2020/9/1 7:00,31,34,1f
1414993,2020/9/1 7:00,9,10,1g
1426642,2020/9/1 7:00,14,14,1h
1438357,2020/9/1 7:00,8,13,1i
1450123,2020/9/1 7:00,13,16,1j
1462080,2020/9/1 7:00,10,25,1k
1473803,2020/9/1 7:00,10,19,1l
1485492,2020/9/1 7:00,12,10,1m
1497146,2020/9/1 7:00,8,7,1n
1508654,2020/9/1 7:00,7,12,1o
1520263,2020/9/1 7:00,7,13,1p
1531874,2020/9/1 7:00,10,11,1q
1543741,2020/9/1 7:00,8,9,1r
1555447,2020/9/1 7:00,7,18,1s
1567306,2020/9/1 7:00,20,25,1t
1822554,2020/9/1 7:00,12,8,2a
1833938,2020/9/1 7:00,34,7,2b
1845523,2020/9/1 7:00,8,14,2c
1857072,2020/9/1 7:00,11,12,2d
1868785,2020/9/1 7:00,11,12,2e
1880531,2020/9/1 7:00,7,11,2f
1892250,2020/9/1 7:00,14,13,2g
1904045,2020/9/1 7:00,10,9,2h
1915716,2020/9/1 7:00,14,12,2i
1927222,2020/9/1 7:00,9,12,2j
1938709,2020/9/1 7:00,8,36,2k
1950221,2020/9/1 7:00,8,31,2l
1961679,2020/9/1 7:00,11,12,2m
1973125,2020/9/1 7:00,8,9,2n
1984548,2020/9/1 7:00,11,13,2o
1995922,2020/9/1 7:00,8,16,2p
2007411,2020/9/1 7:00,15,8,2q
2018949,2020/9/1 7:00,7,8,2r
2030389,2020/9/1 7:00,11,10,2s
2041828,2020/9/1 7:00,19,10,2t
2053405,2020/9/1 7:00,39,175,2u
2064943,2020/9/1 7:00,18,8,2v
2076451,2020/9/1 7:00,14,7,2w
2087977,2020/9/1 7:00,28,10,2x
1344410,2020/9/1 7:15,90,29,1a
1355996,2020/9/1 7:15,27,15,1b
1367682,2020/9/1 7:15,40,21,1c
1379417,2020/9/1 7:15,48,10,1d
1391352,2020/9/1 7:15,38,30,1e
1403205,2020/9/1 7:15,29,27,1f
1414994,2020/9/1 7:15,10,11,1g
1426643,2020/9/1 7:15,8,7,1h
1438358,2020/9/1 7:15,8,10,1i
1450124,2020/9/1 7:15,8,15,1j
1462081,2020/9/1 7:15,8,22,1k
1473804,2020/9/1 7:15,5,14,1l
1485493,2020/9/1 7:15,14,8,1m
1497147,2020/9/1 7:15,7,12,1n
1508655,2020/9/1 7:15,13,17,1o
1520264,2020/9/1 7:15,10,18,1p
1531875,2020/9/1 7:15,8,12,1q
1543742,2020/9/1 7:15,11,9,1r
1555448,2020/9/1 7:15,9,16,1s
1567307,2020/9/1 7:15,26,36,1t
1822555,2020/9/1 7:15,16,13,2a
1833939,2020/9/1 7:15,29,20,2b
1845524,2020/9/1 7:15,7,11,2c
1857073,2020/9/1 7:15,7,9,2d
1868786,2020/9/1 7:15,12,18,2e
1880532,2020/9/1 7:15,12,12,2f
1892251,2020/9/1 7:15,10,14,2g
1904046,2020/9/1 7:15,20,21,2h
1915717,2020/9/1 7:15,11,15,2i
1927223,2020/9/1 7:15,10,16,2j
1938710,2020/9/1 7:15,10,36,2k
1950222,2020/9/1 7:15,10,20,2l
1961680,2020/9/1 7:15,9,7,2m
1973126,2020/9/1 7:15,11,17,2n
1984549,2020/9/1 7:15,12,17,2o
1995923,2020/9/1 7:15,14,13,2p
2007412,2020/9/1 7:15,9,7,2q
2018950,2020/9/1 7:15,9,10,2r
2030390,2020/9/1 7:15,7,11,2s
2041829,2020/9/1 7:15,27,14,2t
2053406,2020/9/1 7:15,60,198,2u
2064944,2020/9/1 7:15,21,7,2v
2076452,2020/9/1 7:15,16,14,2w
2087978,2020/9/1 7:15,27,7,2x
1344411,2020/9/1 7:30,113,29,1a
1355997,2020/9/1 7:30,41,15,1b
1367683,2020/9/1 7:30,51,23,1c
1379418,2020/9/1 7:30,49,23,1d
1391353,2020/9/1 7:30,43,33,1e
1403206,2020/9/1 7:30,31,48,1f
1414995,2020/9/1 7:30,15,11,1g
1426644,2020/9/1 7:30,12,14,1h
1438359,2020/9/1 7:30,8,8,1i
1450125,2020/9/1 7:30,18,10,1j
1462082,2020/9/1 7:30,10,21,1k
1473805,2020/9/1 7:30,10,16,1l
1485494,2020/9/1 7:30,11,15,1m
1497148,2020/9/1 7:30,11,7,1n
1508656,2020/9/1 7:30,9,25,1o
1520265,2020/9/1 7:30,8,26,1p
1531876,2020/9/1 7:30,7,14,1q
1543743,2020/9/1 7:30,9,12,1r
1555449,2020/9/1 7:30,8,22,1s
1567308,2020/9/1 7:30,25,26,1t
1822556,2020/9/1 7:30,18,11,2a
1833940,2020/9/1 7:30,37,13,2b
1845525,2020/9/1 7:30,10,11,2c
1857074,2020/9/1 7:30,15,12,2d
1868787,2020/9/1 7:30,11,22,2e
1880533,2020/9/1 7:30,12,23,2f
1892252,2020/9/1 7:30,11,20,2g
1904047,2020/9/1 7:30,14,25,2h
1915718,2020/9/1 7:30,14,35,2i
1927224,2020/9/1 7:30,11,12,2j
1938711,2020/9/1 7:30,13,44,2k
1950223,2020/9/1 7:30,7,23,2l
1961681,2020/9/1 7:30,11,8,2m
