,2a,2b,2c,2d,2e,2f,2g,2h,2i,2j,2k,2l,2m,2n,2o,2p,2q,2r,2s,2t,2u,2v,2w,2x
2a,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6
2b,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6
2c,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6
2d,3,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6
2e,3,3,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5
2f,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5
2g,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5
2h,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5
2i,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5
2j,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5
2k,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4
2l,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4
2m,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4
2n,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4
2o,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3
2p,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3
2q,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3
2r,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3
2s,6,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3
2t,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
2u,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2
2v,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2
2w,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2
2x,6,6,6,6,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2
